                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2982,                 2.3902,                 1.4084,                0.68708,                0.62816,                 0.6814,                0.42364,                 1.2675,                 1.3786,                 1.3982,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.2452,                 1.6148,                 1.3515,                0.58322,                0.51332,                0.51739,                0.30956,                 1.3462,                 1.8283,                  1.378,              0.0066415,              0.0066415,              0.0066415
                      3,                 1.3132,                 1.6188,                 1.3627,                0.54696,                0.46952,                0.47723,                 0.2732,                  1.505,                 1.7984,                 1.5132,              0.0099308,              0.0099308,              0.0099308
                      4,                  1.313,                 1.5334,                  1.364,                0.75758,                0.65016,                0.73287,                0.46208,                  1.274,                 1.1618,                 1.3151,               0.009901,               0.009901,               0.009901
                      5,                 1.2548,                 1.3606,                 1.3315,                0.78047,                0.70499,                0.78004,                0.51317,                 1.2086,                0.99489,                 1.2719,               0.009868,               0.009868,               0.009868
                      6,                 1.2259,                 1.2719,                 1.3127,                0.79205,                0.71944,                0.79534,                0.52136,                 1.2025,                 0.9519,                 1.2601,               0.009835,               0.009835,               0.009835
                      7,                 1.2036,                  1.214,                 1.2981,                0.84094,                0.77555,                0.84771,                0.57365,                 1.1279,                0.81032,                 1.2081,               0.009802,               0.009802,               0.009802
                      8,                 1.1887,                  1.174,                 1.2882,                0.84462,                0.78688,                0.85394,                0.58412,                 1.1174,                0.78396,                 1.1997,               0.009769,               0.009769,               0.009769
                      9,                 1.1781,                 1.1465,                 1.2823,                0.85755,                0.79603,                 0.8653,                0.59451,                 1.1034,                0.74368,                 1.1936,               0.009736,               0.009736,               0.009736
                     10,                 1.1682,                 1.1179,                  1.275,                0.85794,                0.80929,                0.87347,                0.60732,                 1.0816,                0.71274,                 1.1777,               0.009703,               0.009703,               0.009703
                     11,                 1.1597,                 1.0985,                 1.2702,                0.85587,                0.81406,                0.87768,                 0.6113,                 1.0804,                0.69978,                  1.176,                0.00967,                0.00967,                0.00967
                     12,                 1.1542,                 1.0798,                 1.2644,                0.86028,                0.82118,                0.88015,                0.61558,                 1.0707,                0.68074,                 1.1668,               0.009637,               0.009637,               0.009637
